"statefp","countyfp","tractce","puma5ce"
"53","033","000300","11601"
"53","033","000401","11601"
"53","033","000402","11601"
"53","033","000500","11601"
"53","033","000600","11601"
"53","033","001300","11601"
"53","033","001400","11601"
"53","033","001500","11601"
"53","033","001600","11601"
"53","033","001701","11601"
"53","033","001702","11601"
"53","033","001800","11601"
"53","033","002700","11601"
"53","033","002800","11601"
"53","033","002900","11601"
"53","033","003000","11601"
"53","033","003100","11601"
"53","033","003200","11601"
"53","033","003300","11601"
"53","033","003400","11601"
"53","033","003500","11601"
"53","033","003600","11601"
"53","033","004600","11601"
"53","033","004700","11601"
"53","033","004800","11601"
"53","033","004900","11601"
"53","033","005000","11601"
"53","033","005100","11601"
"53","033","005400","11601"
"53","033","000100","11602"
"53","033","000200","11602"
"53","033","000700","11602"
"53","033","000800","11602"
"53","033","000900","11602"
"53","033","001000","11602"
"53","033","001100","11602"
"53","033","001200","11602"
"53","033","001900","11602"
"53","033","002000","11602"
"53","033","002100","11602"
"53","033","002200","11602"
"53","033","002400","11602"
"53","033","002500","11602"
"53","033","002600","11602"
"53","033","003800","11602"
"53","033","003900","11602"
"53","033","004000","11602"
"53","033","004100","11602"
"53","033","004200","11602"
"53","033","004301","11602"
"53","033","004302","11602"
"53","033","004400","11602"
"53","033","004500","11602"
"53","033","005200","11602"
"53","033","005301","11602"
"53","033","005302","11602"
"53","033","005600","11603"
"53","033","005700","11603"
"53","033","005801","11603"
"53","033","005802","11603"
"53","033","005900","11603"
"53","033","006000","11603"
"53","033","006100","11603"
"53","033","006600","11603"
"53","033","006700","11603"
"53","033","006800","11603"
"53","033","006900","11603"
"53","033","007000","11603"
"53","033","007100","11603"
"53","033","007200","11603"
"53","033","007300","11603"
"53","033","007401","11603"
"53","033","007402","11603"
"53","033","008001","11603"
"53","033","008002","11603"
"53","033","008100","11603"
"53","033","008200","11603"
"53","033","008300","11603"
"53","033","008400","11603"
"53","033","008500","11603"
"53","033","009100","11603"
"53","033","009200","11603"
"53","033","006200","11604"
"53","033","006300","11604"
"53","033","006400","11604"
"53","033","006500","11604"
"53","033","007500","11604"
"53","033","007600","11604"
"53","033","007700","11604"
"53","033","007800","11604"
"53","033","007900","11604"
"53","033","008600","11604"
"53","033","008700","11604"
"53","033","008800","11604"
"53","033","008900","11604"
"53","033","009000","11604"
"53","033","009500","11604"
"53","033","010100","11604"
"53","033","010200","11604"
"53","033","010300","11604"
"53","033","011101","11604"
"53","033","011102","11604"
"53","033","011800","11604"
"53","033","011900","11604"
"53","033","009300","11605"
"53","033","009400","11605"
"53","033","009600","11605"
"53","033","009701","11605"
"53","033","009702","11605"
"53","033","009800","11605"
"53","033","009900","11605"
"53","033","010001","11605"
"53","033","010002","11605"
"53","033","010401","11605"
"53","033","010402","11605"
"53","033","010500","11605"
"53","033","010600","11605"
"53","033","010701","11605"
"53","033","010702","11605"
"53","033","010800","11605"
"53","033","010900","11605"
"53","033","011001","11605"
"53","033","011002","11605"
"53","033","011200","11605"
"53","033","011300","11605"
"53","033","011401","11605"
"53","033","011402","11605"
"53","033","011500","11605"
"53","033","011600","11605"
"53","033","011700","11605"
"53","033","012000","11605"
"53","033","012100","11605"
"53","033","020100","11606"
"53","033","020200","11606"
"53","033","020300","11606"
"53","033","020401","11606"
"53","033","020402","11606"
"53","033","020500","11606"
"53","033","020600","11606"
"53","033","020700","11606"
"53","033","020800","11606"
"53","033","020900","11606"
"53","033","021000","11606"
"53","033","021100","11606"
"53","033","021300","11606"
"53","033","021400","11606"
"53","033","021500","11606"
"53","033","021600","11606"
"53","033","021700","11606"
"53","033","021802","11606"
"53","033","021803","11606"
"53","033","021804","11606"
"53","033","021905","11606"
"53","033","022001","11606"
"53","033","022101","11606"
"53","033","022102","11606"
"53","033","021903","11607"
"53","033","021904","11607"
"53","033","022003","11607"
"53","033","022005","11607"
"53","033","022006","11607"
"53","033","022201","11607"
"53","033","022202","11607"
"53","033","022203","11607"
"53","033","022300","11607"
"53","033","022400","11607"
"53","033","022500","11607"
"53","033","022603","11607"
"53","033","022604","11607"
"53","033","022605","11607"
"53","033","022606","11607"
"53","033","022701","11607"
"53","033","022702","11607"
"53","033","022703","11607"
"53","033","022802","11607"
"53","033","022803","11607"
"53","033","022902","11607"
"53","033","032309","11607"
"53","033","032313","11607"
"53","033","032323","11607"
"53","033","032324","11607"
"53","033","032325","11607"
"53","033","022801","11608"
"53","033","022901","11608"
"53","033","023000","11608"
"53","033","023100","11608"
"53","033","023201","11608"
"53","033","023202","11608"
"53","033","023300","11608"
"53","033","023401","11608"
"53","033","023403","11608"
"53","033","023500","11608"
"53","033","023601","11608"
"53","033","023603","11608"
"53","033","023604","11608"
"53","033","023700","11608"
"53","033","023801","11608"
"53","033","023803","11608"
"53","033","023804","11608"
"53","033","023900","11608"
"53","033","024000","11608"
"53","033","024100","11608"
"53","033","024200","11608"
"53","033","024701","11608"
"53","033","024800","11608"
"53","033","024901","11608"
"53","033","024902","11608"
"53","033","024903","11608"
"53","033","025003","11608"
"53","033","023404","11609"
"53","033","024300","11609"
"53","033","024400","11609"
"53","033","024500","11609"
"53","033","024601","11609"
"53","033","024602","11609"
"53","033","024702","11609"
"53","033","025001","11609"
"53","033","025005","11609"
"53","033","025006","11609"
"53","033","032103","11609"
"53","033","032104","11609"
"53","033","032203","11609"
"53","033","032207","11609"
"53","033","032208","11609"
"53","033","032210","11609"
"53","033","032211","11609"
"53","033","032212","11609"
"53","033","032213","11609"
"53","033","032214","11609"
"53","033","032215","11609"
"53","033","032316","11609"
"53","033","032317","11609"
"53","033","032318","11609"
"53","033","025101","11610"
"53","033","025102","11610"
"53","033","025200","11610"
"53","033","025301","11610"
"53","033","025302","11610"
"53","033","025400","11610"
"53","033","025500","11610"
"53","033","025601","11610"
"53","033","025602","11610"
"53","033","025701","11610"
"53","033","025702","11610"
"53","033","025803","11610"
"53","033","025804","11610"
"53","033","025805","11610"
"53","033","025806","11610"
"53","033","026001","11610"
"53","033","026002","11610"
"53","033","026100","11610"
"53","033","029303","11610"
"53","033","029304","11610"
"53","033","031907","11610"
"53","033","031908","11610"
"53","033","031909","11610"
"53","033","026200","11611"
"53","033","026300","11611"
"53","033","026400","11611"
"53","033","026500","11611"
"53","033","026600","11611"
"53","033","026700","11611"
"53","033","026801","11611"
"53","033","026802","11611"
"53","033","027000","11611"
"53","033","027100","11611"
"53","033","027200","11611"
"53","033","027300","11611"
"53","033","027400","11611"
"53","033","027500","11611"
"53","033","027600","11611"
"53","033","027800","11611"
"53","033","027900","11611"
"53","033","028000","11611"
"53","033","028100","11611"
"53","033","028200","11611"
"53","033","028300","11611"
"53","033","028402","11611"
"53","033","028403","11611"
"53","033","028500","11611"
"53","033","028600","11611"
"53","033","028700","11611"
"53","033","028801","11611"
"53","033","028802","11611"
"53","033","027701","11612"
"53","033","027702","11612"
"53","033","028901","11612"
"53","033","028902","11612"
"53","033","029001","11612"
"53","033","029003","11612"
"53","033","030003","11612"
"53","033","030004","11612"
"53","033","030005","11612"
"53","033","030006","11612"
"53","033","030100","11612"
"53","033","030201","11612"
"53","033","030202","11612"
"53","033","030304","11612"
"53","033","030305","11612"
"53","033","030306","11612"
"53","033","030308","11612"
"53","033","030309","11612"
"53","033","030310","11612"
"53","033","030311","11612"
"53","033","030312","11612"
"53","033","030313","11612"
"53","033","030314","11612"
"53","033","990100","11612"
"53","033","029004","11613"
"53","033","029101","11613"
"53","033","029102","11613"
"53","033","029203","11613"
"53","033","029204","11613"
"53","033","029205","11613"
"53","033","029206","11613"
"53","033","029305","11613"
"53","033","029306","11613"
"53","033","029307","11613"
"53","033","029403","11613"
"53","033","029405","11613"
"53","033","029406","11613"
"53","033","029407","11613"
"53","033","029408","11613"
"53","033","029502","11613"
"53","033","029503","11613"
"53","033","029504","11613"
"53","033","029601","11613"
"53","033","029700","11613"
"53","033","029801","11613"
"53","033","031703","11613"
"53","033","031704","11613"
"53","033","029602","11614"
"53","033","029802","11614"
"53","033","029901","11614"
"53","033","029902","11614"
"53","033","030401","11614"
"53","033","030403","11614"
"53","033","030404","11614"
"53","033","030501","11614"
"53","033","030503","11614"
"53","033","030504","11614"
"53","033","030600","11614"
"53","033","030700","11614"
"53","033","030801","11614"
"53","033","030802","11614"
"53","033","030901","11614"
"53","033","030902","11614"
"53","033","031000","11614"
"53","033","031100","11614"
"53","033","031202","11614"
"53","033","031205","11614"
"53","033","031206","11614"
"53","033","031204","11615"
"53","033","031301","11615"
"53","033","031302","11615"
"53","033","031400","11615"
"53","033","031501","11615"
"53","033","031502","11615"
"53","033","031601","11615"
"53","033","031603","11615"
"53","033","031604","11615"
"53","033","031605","11615"
"53","033","031705","11615"
"53","033","031706","11615"
"53","033","031800","11615"
"53","033","031903","11615"
"53","033","031904","11615"
"53","033","031906","11615"
"53","033","032002","11615"
"53","033","032003","11615"
"53","033","032005","11615"
"53","033","032006","11615"
"53","033","032007","11615"
"53","033","032008","11615"
"53","033","032010","11615"
"53","033","032011","11615"
"53","033","032102","11615"
"53","033","021906","11616"
"53","033","032307","11616"
"53","033","032311","11616"
"53","033","032315","11616"
"53","033","032319","11616"
"53","033","032320","11616"
"53","033","032321","11616"
"53","033","032322","11616"
"53","033","032326","11616"
"53","033","032327","11616"
"53","033","032328","11616"
"53","033","032329","11616"
"53","033","032401","11616"
"53","033","032402","11616"
"53","033","032500","11616"
"53","033","032601","11616"
"53","033","032602","11616"
"53","033","032702","11616"
"53","033","032703","11616"
"53","033","032704","11616"
"53","033","032800","11616"
